Date,Open,High,Low,Close,Volume
2022-04-20,4974.7598,4974.7598,4904.7598,4974.7598,0
2022-04-21,4911.8999,4983.5698,4873.9502,4911.8999,0
2022-04-22,4867.8799,4914.1602,4867.8799,4867.8799,0
2022-04-25,4759.1499,4897.3501,4738.4199,4759.1499,0
2022-04-26,4701.4702,4785.9800,4701.4702,4701.4702,0
2022-04-27,4775.3599,4787.8101,4701.4702,4775.3599,0
2022-04-28,4792.6602,4818.1602,4748.2700,4792.6602,0
2022-04-29,4778.4302,4844.6602,4748.2700,4778.4302,0
2022-05-02,4759.8999,4796.5400,4709.6401,4759.8999,0
2022-05-03,4785.6299,4790.2998,4739.3799,4785.6299,0
2022-05-04,4887.5698,4899.3901,4785.6299,4887.5698,0
2022-05-05,4853.7900,4928.8301,4852.0498,4853.7900,0
2022-05-06,4838.5400,4861.0298,4809.7300,4838.5400,0
2022-05-09,4744.1802,4838.5400,4744.0298,4744.1802,0
2022-05-10,4697.1602,4792.6099,4673.9600,4697.1602,0
2022-05-11,4676.9302,4755.2300,4676.3901,4676.9302,0
2022-05-12,4713.7700,4744.8301,4650.4702,4713.7700,0
2022-05-13,4850.4399,4875.4600,4713.7700,4850.4399,0
2022-05-16,4868.5801,4926.3701,4850.4399,4868.5801,0
2022-05-17,5023.2402,5023.3599,4868.5801,5023.2402,0
2022-05-18,4964.7598,5058.7100,4964.3501,4964.7598,0
2022-05-19,4982.1001,5015.3599,4963.6401,4982.1001,0
2022-05-20,4982.9502,5039.2100,4933.0200,4982.9502,0
2022-05-23,5127.5200,5131.9800,4982.9502,5127.5200,0
2022-05-24,5142.7500,5156.6899,5096.9302,5142.7500,0
2022-05-25,5191.0498,5192.3301,5142.7500,5191.0498,0
2022-05-26,5268.9600,5278.5200,5191.0498,5268.9600,0
2022-05-27,5387.0601,5388.1001,5268.0498,5387.0601,0
2022-05-30,5385.7002,5432.5601,5377.2500,5385.7002,0
2022-05-31,5350.4800,5385.7002,5264.7002,5350.4800,0
2022-06-01,5299.1099,5352.7900,5232.3799,5299.1099,0
2022-06-02,5353.1299,5366.2998,5283.7700,5353.1299,0
2022-06-03,5352.4399,5356.4302,5319.5000,5352.4399,0
2022-06-06,5332.5898,5387.9600,5317.7002,5332.5898,0
2022-06-07,5358.9502,5367.6401,5314.8398,5358.9502,0
2022-06-08,5277.0000,5358.9502,5262.6001,5277.0000,0
2022-06-09,5184.2700,5279.3301,5184.2700,5184.2700,0
2022-06-10,5237.8501,5238.7100,5136.9199,5237.8501,0
2022-06-13,5131.2998,5237.8501,5099.9800,5131.2998,0
2022-06-14,5121.3999,5165.7998,5116.8799,5121.3999,0
2022-06-15,5139.4102,5152.4800,5103.6499,5139.4102,0
2022-06-16,5029.4800,5139.4102,4991.5498,5029.4800,0
2022-06-17,5067.0601,5107.7002,4998.4902,5067.0601,0
